993859:{date_stamp=-4327, umbrella=2425, payload=........, name=4rvcje2117o2akqhsosouz401lnbljlf9id8dcyg, time=81169001, id=0l0erz78oa6qanncnrp7gaj3xlicd0kt, value=96482}
993860:{date_stamp=11937, umbrella=5985, payload=........, name=w4d8jik3v5rfyf1q4qkly8tkb9fghp7mte2e8xpj, time=38831162, id=ospmdzb8ia9h5j1xdfgcto652xbzwtac, value=57926}
993861:{date_stamp=1177, umbrella=506, payload=........, name=z3u95julw5bpury9hwvsggz8nqs7qeu2i7cjvw75, time=8793877, id=3smxx7iy5pdxfvg8m03gdm25jclf3azb, value=89227}
993862:{date_stamp=-738, umbrella=3791, payload=........, name=724idjajz61rp71jt30vzjx4xvzc80btpj6gc82j, time=71933901, id=mskt68zisdraxil7jxxfk1wwvpq5ikbn, value=66806}
993863:{date_stamp=-23535, umbrella=1534, payload=........, name=1dl4ivdjxibfjq52xpxgl1t2en5ru7eiy4dhs9ff, time=41012188, id=afrjir7bl86t393f9tb59v5q1knlkrz0, value=89985}
993864:{date_stamp=-20199, umbrella=9426, payload=........, name=cnmqq9w8si1ushmb34rdfjbl3eiitn2rgz1py8m9, time=77100050, id=qnpor5pfak8wx46fufmilbvpden2t6to, value=39487}
993865:{date_stamp=-8642, umbrella=6903, payload=........, name=ljwm9othsl6eaao7s1rf31qlui54qb88o67k8a7r, time=37769664, id=wkzffocushkgi62blbn8egursyuh3gul, value=57179}
993866:{date_stamp=3900, umbrella=5646, payload=........, name=x7o98lczeggicb49h95i19fv2nhhk0ugax5dgktd, time=21357036, id=ypjweyhl33gqeueqslr9nabfsda0s1qd, value=93804}
993867:{date_stamp=-14441, umbrella=1954, payload=........, name=q4g00i1kkx7leq8ito6h59xbfilzhdstzd4wnitn, time=68841519, id=israi3bur3lhgxedrmd8rfpw5nkg4qas, value=65285}
993868:{date_stamp=3587, umbrella=6678, payload=........, name=fbtwxli9p0h18gafpzscasst16nais4kuoqlhie6, time=30216739, id=hvafvgbjmo1mvv7fk8q9af51jdvbqeyk, value=44894}
993869:{date_stamp=13053, umbrella=3871, payload=........, name=vwdooit6bgx6dilau5o5ohxwg2knoee5gkz537ra, time=25545552, id=09cs7997ipvxgnx5cu8vijd8sebdj1f9, value=66847}
993870:{date_stamp=-4065, umbrella=2660, payload=........, name=wdgsgx8mahapbf7ny06kd25fg4xrponhg52bi4yv, time=8510916, id=e9czxjoxfv72o358z9olwh5uddv78v6m, value=83384}
993871:{date_stamp=-20672, umbrella=3301, payload=........, name=yahc4xdj0zft4tx58yrp4w02s4fc4vgsiz53rh3p, time=56189494, id=2v1gmf5ro27ub69ijrqknaivy86vz3ba, value=5277}
993872:{date_stamp=-23629, umbrella=5549, payload=........, name=zics0ru2g7e3s3i9rsqiyviyr11tw6670zklarlz, time=37259757, id=39zjyoko653oyy0t5yxgzeu0lcqd4hth, value=85750}
993873:{date_stamp=-1643, umbrella=5465, payload=........, name=k1lxz254diccw99xyf7vf5a04oqlpawrim0n0j19, time=75229243, id=vytzfqrmtpad220gr1yqlvdbvqxpa0ca, value=65800}
993874:{date_stamp=-16165, umbrella=6528, payload=........, name=nhqi0qdlgpq1wxghn3kwze65uq0mnkeoe33r4ba2, time=23441701, id=h9c1jxs3bap9lk03q005k79im25qazil, value=98235}
993875:{date_stamp=-24390, umbrella=3649, payload=........, name=1bv9r0ebs65z2neosqq2jajrniuhuaya8u57is0r, time=82560951, id=md1l2qlngnpgrouuo2pgxwq82lvbxwdw, value=63581}
993876:{date_stamp=14284, umbrella=2373, payload=........, name=eu2k3fur82du7nflt8k1jvchm1zqv7yxvxiimuvs, time=65473654, id=1p1mmrgnjvxybjep3r6iy3oz14oxp6cz, value=59086}
993877:{date_stamp=6261, umbrella=1568, payload=........, name=3i7f0q2whskhtz6o5t2qj5wr5jjd2dyybcltvlac, time=77345651, id=dbpkzphk04bdmdk0h556jkjibs9nlt20, value=37445}
993878:{date_stamp=-12395, umbrella=8684, payload=........, name=aameckmnkm9vsenmil58qe0h4ugvzm7h8h5jcq9l, time=12149676, id=7ikeosqkw5vi74aoeb93x3bjr3xpbgu8, value=30464}
993879:{date_stamp=-11453, umbrella=8647, payload=........, name=xjk6u10p3t083jqxddd106vhn7dv5di2yq3nna3d, time=85697854, id=nc9st9twiix6rh470bootb4f8xp1j6ls, value=81525}
993880:{date_stamp=-1898, umbrella=1393, payload=........, name=5hw0z2vjry9oo3srlj372mih8ok7sjejsut5ce05, time=4122849, id=4bdmzhqnqi71b01ly9r75c1j0jx6xwcj, value=91415}
993881:{date_stamp=-11011, umbrella=1631, payload=........, name=z6b6h6kil2mpxv0zzns0dwjvvtvcn3b2oydqkn04, time=64485273, id=b4lq4xr8kjcp0wrw11aihs8mmu9dirv7, value=45522}
993882:{date_stamp=2937, umbrella=9450, payload=........, name=36d3jcxx61qdpklsg5na6u7k1d8nh4zd5zbgtuia, time=12024191, id=q1jgj2ey41ztyr0w8iyor4o8hvy4cqsa, value=66439}
993883:{date_stamp=935, umbrella=2921, payload=........, name=u1pp63e182k4lixkiq9pzhrpprl4hvk0pf04z7wo, time=12918081, id=eq1v80cfv957ygk2iz49d23k1ytnxc05, value=62692}
